Hour,Wind speed (m/s)_clipped,Visibility (10m)_clipped,Dew point temperature(°C)_clipped,Solar Radiation (MJ/m2)_clipped,Rainfall(mm)_clipped,Snowfall (cm)_clipped,Seasons,Holiday,Functioning Day,month,day
5,0.4,851,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,20
6,0.7,821,4.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,20
7,0.7,774,4.2,0.17,0.0,0.0,Spring,No Holiday,Yes,April,20
8,1.2,738,3.8,0.68,0.0,0.0,Spring,No Holiday,Yes,April,20
9,0.9,683,2.8,1.37,0.0,0.0,Spring,No Holiday,Yes,April,20
10,1.0,620,2.8,1.99,0.0,0.0,Spring,No Holiday,Yes,April,20
11,2.2,705,4.1,2.325,0.0,0.0,Spring,No Holiday,Yes,April,20
12,1.8,894,5.4,2.325,0.0,0.0,Spring,No Holiday,Yes,April,20
13,1.5,835,5.5,2.325,0.0,0.0,Spring,No Holiday,Yes,April,20
14,2.2,808,5.9,2.325,0.0,0.0,Spring,No Holiday,Yes,April,20
15,1.8,581,5.6,2.325,0.0,0.0,Spring,No Holiday,Yes,April,20
16,3.4,600,6.8,2.07,0.0,0.0,Spring,No Holiday,Yes,April,20
17,2.3,671,6.7,1.47,0.0,0.0,Spring,No Holiday,Yes,April,20
18,2.3,687,7.3,0.78,0.0,0.0,Spring,No Holiday,Yes,April,20
19,1.8,714,6.6,0.22,0.0,0.0,Spring,No Holiday,Yes,April,20
20,1.8,788,8.0,0.0,0.0,0.0,Spring,No Holiday,Yes,April,20
21,1.5,842,8.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,20
22,1.3,818,8.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,20
23,0.6,807,8.6,0.0,0.0,0.0,Spring,No Holiday,Yes,April,20
0,0.2,756,8.2,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
1,1.1,658,7.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
2,1.8,611,7.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
3,1.4,583,7.0,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
4,1.6,521,7.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
5,0.5,385,7.6,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
6,0.5,483,6.3,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
7,1.1,457,6.7,0.22,0.0,0.0,Spring,No Holiday,Yes,April,21
8,0.9,431,5.3,0.89,0.0,0.0,Spring,No Holiday,Yes,April,21
9,1.1,512,1.5,1.61,0.0,0.0,Spring,No Holiday,Yes,April,21
10,2.0,950,-0.7,2.29,0.0,0.0,Spring,No Holiday,Yes,April,21
11,2.0,1172,-1.8,2.325,0.0,0.0,Spring,No Holiday,Yes,April,21
12,3.3,1701,-4.9,2.325,0.0,0.0,Spring,No Holiday,Yes,April,21
13,2.7,2000,-9.0,2.325,0.0,0.0,Spring,No Holiday,Yes,April,21
14,3.8,1858,-4.3,2.325,0.0,0.0,Spring,No Holiday,Yes,April,21
15,4.1,2000,-5.3,2.325,0.0,0.0,Spring,No Holiday,Yes,April,21
16,3.3,1955,-5.5,2.325,0.0,0.0,Spring,No Holiday,Yes,April,21
17,3.6,2000,-7.8,1.69,0.0,0.0,Spring,No Holiday,Yes,April,21
18,3.0,2000,-9.7,0.98,0.0,0.0,Spring,No Holiday,Yes,April,21
19,2.0,2000,-6.9,0.34,0.0,0.0,Spring,No Holiday,Yes,April,21
20,1.2,2000,-5.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
21,1.2,2000,-4.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
22,1.0,1996,-1.9,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
23,0.5,1996,-0.2,0.0,0.0,0.0,Spring,No Holiday,Yes,April,21
0,0.3,1995,0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
1,0.2,2000,1.9,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
2,0.5,1319,2.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
3,0.3,2000,-1.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
4,0.8,2000,-0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
5,0.6,2000,0.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
6,0.5,2000,1.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
7,0.3,2000,1.8,0.12,0.0,0.0,Spring,No Holiday,Yes,April,22
8,0.8,1982,2.6,0.25,0.0,0.0,Spring,No Holiday,Yes,April,22
9,0.9,1958,4.8,0.27,0.0,0.0,Spring,No Holiday,Yes,April,22
10,0.8,1639,8.9,0.27,0.0,0.0,Spring,No Holiday,Yes,April,22
11,0.9,1840,7.9,0.51,0.0,0.0,Spring,No Holiday,Yes,April,22
12,0.9,1910,6.3,0.75,0.0,0.0,Spring,No Holiday,Yes,April,22
13,1.1,2000,4.4,1.13,0.0,0.0,Spring,No Holiday,Yes,April,22
14,1.5,1996,3.3,0.69,0.0,0.0,Spring,No Holiday,Yes,April,22
15,2.4,1885,7.0,0.47,0.0,0.0,Spring,No Holiday,Yes,April,22
16,0.9,1583,9.0,0.37,0.0,0.0,Spring,No Holiday,Yes,April,22
17,1.2,965,11.2,0.13,0.0,0.0,Spring,No Holiday,Yes,April,22
18,1.3,1298,11.2,0.11,0.0,0.0,Spring,No Holiday,Yes,April,22
19,1.7,1185,8.4,0.02,0.0,0.0,Spring,No Holiday,Yes,April,22
20,1.8,821,9.9,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
21,2.3,681,9.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
22,2.0,469,9.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
23,1.6,368,10.3,0.0,0.0,0.0,Spring,No Holiday,Yes,April,22
0,2.6,477,9.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
1,2.3,1523,8.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
2,2.2,490,8.6,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
3,2.3,990,8.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
4,2.4,410,8.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
5,2.3,404,8.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
6,2.7,373,8.3,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
7,2.3,294,8.2,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
8,2.8,519,8.0,0.03,0.0,0.0,Spring,No Holiday,Yes,April,23
9,2.6,447,7.7,0.1,0.0,0.0,Spring,No Holiday,Yes,April,23
10,2.5,578,7.8,0.2,0.0,0.0,Spring,No Holiday,Yes,April,23
11,2.2,437,7.5,0.29,0.0,0.0,Spring,No Holiday,Yes,April,23
12,1.9,481,8.3,0.43,0.0,0.0,Spring,No Holiday,Yes,April,23
13,2.3,419,8.5,0.4,0.0,0.0,Spring,No Holiday,Yes,April,23
14,2.6,304,8.7,0.39,0.0,0.0,Spring,No Holiday,Yes,April,23
15,2.2,350,8.8,0.31,0.0,0.0,Spring,No Holiday,Yes,April,23
16,1.7,1409,8.9,0.23,0.0,0.0,Spring,No Holiday,Yes,April,23
17,1.9,660,8.6,0.11,0.0,0.0,Spring,No Holiday,Yes,April,23
18,1.9,600,8.7,0.07,0.0,0.0,Spring,No Holiday,Yes,April,23
19,1.8,531,8.6,0.03,0.0,0.0,Spring,No Holiday,Yes,April,23
20,1.6,740,8.6,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
21,2.1,869,8.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
22,1.9,2000,8.0,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
23,1.9,2000,7.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,23
0,1.3,2000,7.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
1,1.6,2000,7.3,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
2,1.4,2000,7.3,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
3,1.3,523,8.6,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
4,1.2,2000,8.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
5,1.3,2000,8.3,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
6,2.0,2000,7.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
7,1.3,2000,7.2,0.04,0.0,0.0,Spring,No Holiday,Yes,April,24
8,1.3,2000,7.0,0.29,0.0,0.0,Spring,No Holiday,Yes,April,24
9,1.4,2000,6.8,0.92,0.0,0.0,Spring,No Holiday,Yes,April,24
10,1.3,2000,7.1,0.97,0.0,0.0,Spring,No Holiday,Yes,April,24
11,1.6,2000,6.9,1.08,0.0,0.0,Spring,No Holiday,Yes,April,24
12,1.9,2000,6.7,1.33,0.0,0.0,Spring,No Holiday,Yes,April,24
13,2.1,2000,6.3,1.54,0.0,0.0,Spring,No Holiday,Yes,April,24
14,1.7,2000,6.1,1.22,0.0,0.0,Spring,No Holiday,Yes,April,24
15,1.5,2000,6.2,0.93,0.0,0.0,Spring,No Holiday,Yes,April,24
16,1.7,2000,5.6,0.7,0.0,0.0,Spring,No Holiday,Yes,April,24
17,1.9,2000,5.3,0.64,0.0,0.0,Spring,No Holiday,Yes,April,24
18,1.6,2000,1.6,0.36,0.0,0.0,Spring,No Holiday,Yes,April,24
19,1.2,2000,-1.1,0.12,0.0,0.0,Spring,No Holiday,Yes,April,24
20,0.8,2000,2.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
21,1.1,2000,0.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
22,0.7,2000,-1.6,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
23,0.7,2000,-2.0,0.0,0.0,0.0,Spring,No Holiday,Yes,April,24
0,0.7,2000,0.3,0.0,0.0,0.0,Spring,No Holiday,Yes,April,25
1,1.1,2000,0.6,0.0,0.0,0.0,Spring,No Holiday,Yes,April,25
2,0.3,1993,0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,25
3,0.3,2000,-0.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,25
4,0.5,2000,0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,25
5,0.5,1984,-0.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,25
6,0.3,2000,-2.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,25
7,0.3,1963,-3.0,0.27,0.0,0.0,Spring,No Holiday,Yes,April,25
8,0.9,1939,-5.1,0.89,0.0,0.0,Spring,No Holiday,Yes,April,25
9,0.8,1862,-4.4,1.6,0.0,0.0,Spring,No Holiday,Yes,April,25
10,0.6,1749,-3.0,2.2,0.0,0.0,Spring,No Holiday,Yes,April,25
11,1.3,1843,-2.7,2.325,0.0,0.0,Spring,No Holiday,Yes,April,25
12,1.1,1663,-4.1,2.325,0.0,0.0,Spring,No Holiday,Yes,April,25
13,1.7,1467,-1.1,2.325,0.0,0.0,Spring,No Holiday,Yes,April,25
14,2.1,1470,-0.6,2.325,0.0,0.0,Spring,No Holiday,Yes,April,25
15,2.1,1542,-0.6,2.325,0.0,0.0,Spring,No Holiday,Yes,April,25
16,3.1,1871,-1.8,2.26,0.0,0.0,Spring,No Holiday,Yes,April,25
17,2.8,1985,0.6,1.64,0.0,0.0,Spring,No Holiday,Yes,April,25
18,3.8,1927,3.8,0.94,0.0,0.0,Spring,No Holiday,Yes,April,25
19,3.5,2000,2.8,0.29,0.0,0.0,Spring,No Holiday,Yes,April,25
20,4.3,1971,-1.3,0.01,0.0,0.0,Spring,No Holiday,Yes,April,25
21,1.4,1999,0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,25
22,1.2,1999,-0.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,25
23,0.6,1901,2.2,0.0,0.0,0.0,Spring,No Holiday,Yes,April,25
0,0.3,1877,2.0,0.0,0.0,0.0,Spring,No Holiday,Yes,April,26
1,1.0,1836,3.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,26
2,1.0,1793,3.6,0.0,0.0,0.0,Spring,No Holiday,Yes,April,26
3,1.0,1506,5.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,26
4,0.7,1404,5.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,26
5,0.8,1137,5.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,26
6,0.8,1217,5.1,0.01,0.0,0.0,Spring,No Holiday,Yes,April,26
7,0.8,1093,5.0,0.27,0.0,0.0,Spring,No Holiday,Yes,April,26
8,0.6,956,4.6,0.62,0.0,0.0,Spring,No Holiday,Yes,April,26
9,1.5,1054,4.8,1.37,0.0,0.0,Spring,No Holiday,Yes,April,26
10,2.2,1147,5.3,2.26,0.0,0.0,Spring,No Holiday,Yes,April,26
11,2.7,1112,4.9,2.17,0.0,0.0,Spring,No Holiday,Yes,April,26
12,2.2,962,4.1,2.325,0.0,0.0,Spring,No Holiday,Yes,April,26
13,2.4,1048,2.3,2.325,0.0,0.0,Spring,No Holiday,Yes,April,26
14,3.1,1414,2.2,2.325,0.0,0.0,Spring,No Holiday,Yes,April,26
15,2.6,1463,-0.1,2.325,0.0,0.0,Spring,No Holiday,Yes,April,26
16,2.5,1404,-0.3,1.97,0.0,0.0,Spring,No Holiday,Yes,April,26
17,3.3,1482,2.4,1.48,0.0,0.0,Spring,No Holiday,Yes,April,26
18,3.1,1092,5.3,0.75,0.0,0.0,Spring,No Holiday,Yes,April,26
19,3.3,1138,3.3,0.24,0.0,0.0,Spring,No Holiday,Yes,April,26
20,2.7,1216,4.0,0.01,0.0,0.0,Spring,No Holiday,Yes,April,26
21,2.2,1517,5.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,26
22,2.2,1949,5.3,0.0,0.0,0.0,Spring,No Holiday,Yes,April,26
23,1.9,1719,4.0,0.0,0.0,0.0,Spring,No Holiday,Yes,April,26
0,2.4,1535,4.0,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
1,1.8,1471,3.2,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
2,1.4,1255,3.2,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
3,1.1,989,3.9,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
4,1.5,970,3.9,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
5,1.1,808,4.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
6,1.5,931,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
7,0.7,1163,3.3,0.22,0.0,0.0,Spring,No Holiday,Yes,April,27
8,1.4,1150,3.6,0.79,0.0,0.0,Spring,No Holiday,Yes,April,27
9,0.8,1003,4.8,1.39,0.0,0.0,Spring,No Holiday,Yes,April,27
10,1.0,944,4.9,1.97,0.0,0.0,Spring,No Holiday,Yes,April,27
11,1.5,945,5.2,2.325,0.0,0.0,Spring,No Holiday,Yes,April,27
12,1.1,1055,5.5,2.325,0.0,0.0,Spring,No Holiday,Yes,April,27
13,1.0,1164,5.3,2.325,0.0,0.0,Spring,No Holiday,Yes,April,27
14,2.8,1124,4.7,2.325,0.0,0.0,Spring,No Holiday,Yes,April,27
15,1.6,1223,3.7,2.325,0.0,0.0,Spring,No Holiday,Yes,April,27
16,2.4,869,6.0,2.12,0.0,0.0,Spring,No Holiday,Yes,April,27
17,3.0,662,7.9,1.44,0.0,0.0,Spring,No Holiday,Yes,April,27
18,2.5,705,8.6,0.77,0.0,0.0,Spring,No Holiday,Yes,April,27
19,2.7,753,8.9,0.24,0.0,0.0,Spring,No Holiday,Yes,April,27
20,3.1,1060,3.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
21,1.9,806,5.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
22,1.4,554,7.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
23,1.2,519,7.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,27
0,1.6,473,7.9,0.0,0.0,0.0,Spring,No Holiday,Yes,April,28
1,1.8,392,8.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,28
2,1.0,363,7.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,28
3,1.0,364,7.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,28
4,1.8,362,7.6,0.0,0.0,0.0,Spring,No Holiday,Yes,April,28
5,1.7,348,7.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,28
6,1.1,284,8.0,0.0,0.0,0.0,Spring,No Holiday,Yes,April,28
7,0.5,335,7.1,0.26,0.0,0.0,Spring,No Holiday,Yes,April,28
8,0.6,378,6.7,0.86,0.0,0.0,Spring,No Holiday,Yes,April,28
9,1.7,493,6.3,1.57,0.0,0.0,Spring,No Holiday,Yes,April,28
10,1.8,734,5.6,2.27,0.0,0.0,Spring,No Holiday,Yes,April,28
11,3.0,1719,1.0,2.325,0.0,0.0,Spring,No Holiday,Yes,April,28
12,2.5,1485,2.7,2.325,0.0,0.0,Spring,No Holiday,Yes,April,28
13,2.8,1295,3.3,2.325,0.0,0.0,Spring,No Holiday,Yes,April,28
14,3.8,1884,0.4,2.325,0.0,0.0,Spring,No Holiday,Yes,April,28
15,4.1,1885,0.2,2.325,0.0,0.0,Spring,No Holiday,Yes,April,28
16,4.3999999999999995,1990,-0.3,2.325,0.0,0.0,Spring,No Holiday,Yes,April,28
17,3.3,1840,1.4,1.78,0.0,0.0,Spring,No Holiday,Yes,April,28
18,2.6,1995,0.9,1.05,0.0,0.0,Spring,No Holiday,Yes,April,28
19,1.3,1965,0.5,0.34,0.0,0.0,Spring,No Holiday,Yes,April,28
20,2.2,1981,-0.6,0.01,0.0,0.0,Spring,No Holiday,Yes,April,28
21,1.1,1751,-0.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,28
22,1.6,1713,1.3,0.0,0.0,0.0,Spring,No Holiday,Yes,April,28
23,1.0,1648,2.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,28
0,1.4,1620,2.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,29
1,1.6,1533,2.9,0.0,0.0,0.0,Spring,No Holiday,Yes,April,29
2,1.2,1460,2.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,29
3,1.0,1163,3.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,29
4,0.7,1277,3.5,0.0,0.0,0.0,Spring,No Holiday,Yes,April,29
5,1.1,1304,2.9,0.0,0.0,0.0,Spring,No Holiday,Yes,April,29
6,1.0,1325,3.2,0.01,0.0,0.0,Spring,No Holiday,Yes,April,29
7,0.7,1707,2.2,0.25,0.0,0.0,Spring,No Holiday,Yes,April,29
8,0.8,1412,2.0,0.84,0.0,0.0,Spring,No Holiday,Yes,April,29
9,0.9,1354,1.0,1.56,0.0,0.0,Spring,No Holiday,Yes,April,29
10,1.8,1570,1.8,2.26,0.0,0.0,Spring,No Holiday,Yes,April,29
11,2.0,1695,0.5,2.325,0.0,0.0,Spring,No Holiday,Yes,April,29
12,2.6,1299,2.7,2.325,0.0,0.0,Spring,No Holiday,Yes,April,29
13,2.2,1055,2.0,2.325,0.0,0.0,Spring,No Holiday,Yes,April,29
14,3.3,1172,2.2,2.325,0.0,0.0,Spring,No Holiday,Yes,April,29
15,3.3,1138,1.1,2.325,0.0,0.0,Spring,No Holiday,Yes,April,29
16,3.7,1183,0.0,2.28,0.0,0.0,Spring,No Holiday,Yes,April,29
17,3.1,1023,2.5,1.6,0.0,0.0,Spring,No Holiday,Yes,April,29
18,3.2,1114,1.0,0.89,0.0,0.0,Spring,No Holiday,Yes,April,29
19,2.8,932,3.5,0.16,0.0,0.0,Spring,No Holiday,Yes,April,29
20,2.7,942,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,29
21,1.2,913,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,29
22,2.3,1016,3.0,0.0,0.0,0.0,Spring,No Holiday,Yes,April,29
23,1.0,858,5.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,29
0,1.3,718,5.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
1,1.7,580,6.7,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
2,1.2,502,6.9,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
3,1.0,475,6.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
4,1.2,495,6.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
5,0.7,492,7.8,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
6,0.5,424,8.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
7,1.5,354,11.2,0.06,0.0,0.0,Spring,No Holiday,Yes,April,30
8,0.5,357,10.9,0.39,0.0,0.0,Spring,No Holiday,Yes,April,30
9,1.0,416,10.8,1.0,0.0,0.0,Spring,No Holiday,Yes,April,30
10,1.1,451,9.9,1.88,0.0,0.0,Spring,No Holiday,Yes,April,30
11,0.9,468,10.1,1.96,0.0,0.0,Spring,No Holiday,Yes,April,30
12,2.0,564,11.2,2.325,0.0,0.0,Spring,No Holiday,Yes,April,30
13,1.8,684,10.6,2.325,0.0,0.0,Spring,No Holiday,Yes,April,30
14,2.3,520,11.9,2.325,0.0,0.0,Spring,No Holiday,Yes,April,30
15,2.7,419,12.3,2.325,0.0,0.0,Spring,No Holiday,Yes,April,30
16,1.8,549,12.0,2.05,0.0,0.0,Spring,No Holiday,Yes,April,30
17,3.5,536,13.8,1.39,0.0,0.0,Spring,No Holiday,Yes,April,30
18,2.9,679,13.1,0.81,0.0,0.0,Spring,No Holiday,Yes,April,30
19,2.9,559,14.3,0.25,0.0,0.0,Spring,No Holiday,Yes,April,30
20,2.4,533,14.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
21,1.2,413,14.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
22,1.6,377,14.4,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
23,0.4,323,14.1,0.0,0.0,0.0,Spring,No Holiday,Yes,April,30
0,0.8,349,14.3,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
1,1.1,451,15.3,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
2,0.8,355,15.6,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
3,1.0,284,15.5,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
4,0.3,275,15.4,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
5,0.8,346,15.4,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
6,0.6,265,15.2,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
7,0.7,264,14.8,0.11,0.0,0.0,Spring,Holiday,Yes,May,1
8,0.6,301,14.4,0.36,0.0,0.0,Spring,Holiday,Yes,May,1
9,1.1,464,14.3,1.3,0.0,0.0,Spring,Holiday,Yes,May,1
10,1.2,531,14.3,1.72,0.0,0.0,Spring,Holiday,Yes,May,1
11,1.1,605,15.2,1.36,0.0,0.0,Spring,Holiday,Yes,May,1
12,2.7,462,15.6,0.81,0.0,0.0,Spring,Holiday,Yes,May,1
13,3.1,494,15.5,1.92,0.0,0.0,Spring,Holiday,Yes,May,1
14,2.8,520,15.8,1.59,0.0,0.0,Spring,Holiday,Yes,May,1
15,2.5,556,15.1,1.5,0.0,0.0,Spring,Holiday,Yes,May,1
16,3.1,551,15.1,0.88,0.0,0.0,Spring,Holiday,Yes,May,1
17,2.4,589,15.1,0.47,0.0,0.0,Spring,Holiday,Yes,May,1
18,2.0,584,15.2,0.24,0.0,0.0,Spring,Holiday,Yes,May,1
19,1.5,610,15.0,0.16,0.0,0.0,Spring,Holiday,Yes,May,1
20,1.3,587,15.3,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
21,1.3,554,15.4,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
22,0.8,516,15.3,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
23,0.9,442,14.8,0.0,0.0,0.0,Spring,Holiday,Yes,May,1
0,0.5,386,15.3,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
1,2.1,392,15.0,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
2,1.6,346,15.4,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
3,0.8,342,15.3,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
4,0.4,300,15.0,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
5,0.8,209,16.1,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
6,0.9,202,16.7,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
7,0.5,166,16.6,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
8,0.9,203,16.5,0.06,0.0,0.0,Spring,No Holiday,Yes,May,2
9,0.7,230,16.4,0.16,0.0,0.0,Spring,No Holiday,Yes,May,2
10,1.1,322,15.6,0.36,0.0,0.0,Spring,No Holiday,Yes,May,2
11,1.1,411,15.4,0.45,0.0,0.0,Spring,No Holiday,Yes,May,2
12,0.7,155,16.4,0.16,0.0,0.0,Spring,No Holiday,Yes,May,2
13,0.9,275,16.5,0.26,0.0,0.0,Spring,No Holiday,Yes,May,2
14,0.3,436,16.5,0.35,0.0,0.0,Spring,No Holiday,Yes,May,2
15,3.7,216,15.3,0.26,0.0,0.0,Spring,No Holiday,Yes,May,2
16,4.3999999999999995,378,14.5,0.11,0.0,0.0,Spring,No Holiday,Yes,May,2
17,2.6,303,12.9,0.21,0.0,0.0,Spring,No Holiday,Yes,May,2
18,2.3,638,11.8,0.09,0.0,0.0,Spring,No Holiday,Yes,May,2
19,3.9,831,11.4,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
20,4.0,716,9.6,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
21,2.8,1627,9.5,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
22,3.7,1671,7.9,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
23,3.6,1017,7.9,0.0,0.0,0.0,Spring,No Holiday,Yes,May,2
0,3.1,2000,6.4,0.0,0.0,0.0,Spring,No Holiday,Yes,May,3
1,2.1,2000,5.6,0.0,0.0,0.0,Spring,No Holiday,Yes,May,3
2,1.7,2000,5.1,0.0,0.0,0.0,Spring,No Holiday,Yes,May,3
3,1.2,2000,4.8,0.0,0.0,0.0,Spring,No Holiday,Yes,May,3
4,1.3,2000,4.9,0.0,0.0,0.0,Spring,No Holiday,Yes,May,3
5,0.8,2000,4.6,0.0,0.0,0.0,Spring,No Holiday,Yes,May,3
6,2.0,1070,5.6,0.01,0.0,0.0,Spring,No Holiday,Yes,May,3
7,1.4,1400,5.6,0.31,0.0,0.0,Spring,No Holiday,Yes,May,3
8,2.3,1221,4.6,0.98,0.0,0.0,Spring,No Holiday,Yes,May,3
9,3.9,1614,3.1,1.65,0.0,0.0,Spring,No Holiday,Yes,May,3
10,4.3999999999999995,1561,2.6,1.64,0.0,0.0,Spring,No Holiday,Yes,May,3
11,3.0,1799,2.8,1.68,0.0,0.0,Spring,No Holiday,Yes,May,3
12,3.9,1870,6.1,1.12,0.0,0.0,Spring,No Holiday,Yes,May,3
13,3.7,1693,4.7,0.82,0.0,0.0,Spring,No Holiday,Yes,May,3
14,3.8,1510,8.3,0.88,0.0,0.0,Spring,No Holiday,Yes,May,3
15,4.3999999999999995,2000,3.6,0.57,0.0,0.0,Spring,No Holiday,Yes,May,3
16,3.3,2000,3.4,0.76,0.0,0.0,Spring,No Holiday,Yes,May,3
17,4.2,1999,2.7,0.69,0.0,0.0,Spring,No Holiday,Yes,May,3
